species,family,genus,specific,english,status,authority,ID,RedList,WriteUp,Phytogeography
Centaurea nigra,COMPOSITAE,Centaurea,nigra,Black Knapweed,native,L.,Vas_444,,"
Suboceanic Temperate element.
Common Knapweed is a common species of grasslands, woodland edge habitats and waste ground (BH6, 7). It is found throughout the British Isles although it is thought to be an introduction in Shetland. However British botanists have had considerable difficulties with the taxonomy of this taxon and have been unable to distinguish between C. nigra L and C. nemoralis Jord. Nevertheless Sell and Murrell (2006) distinguish between C. debeauxii Gren. & Godr. (2n = 44), which includes ssp. nemoralis (Jord.) Dorstál (= C. nemoralis Jord.) and ssp. thuilleri (Dorstál) P.D. Sell, and C. nigra L. (2n = 22). However where both species occur hybrids may be frequent. In northern Lancashire it proved difficult to distinguish with any certainty what taxa occur. It appeared that C. nigra was a morphologically variable taxon or that both C. debeauxii and C. nigra are present with many intermediates or hybrids present. Nevertheless, a distinctive taxon, conforming to typical C. debeauxii, was found at Brockholes Nature Reserve, Preston (SD53V) in 2009 (E.F.G.) where it is believed it had originated from a wildflower seed mixture. Much more work is needed to elucidate the situation in the area.
Very common (399). In northern Lancashire Common Knapweed is found throughout the area except on the fells. There has been no change in its distribution locally or nationally.

",Eurosiberian–Temperate
Centaurea scabiosa,COMPOSITAE,Centaurea,scabiosa,Greater Knapweed,native,L.,Vas_446,,"
Eurosiberian Temperate element.
Greater Knapweed is a robust perennial species found in grassland, marginal habitats and on waste ground (BH7). It is found in many places in England, Wales and central Ireland but it is absent from most upland areas and most of Scotland although it occurs on the north coast and around the Firths of Forth and Tay.
Occasional (19). In northern Lancashire C. scabiosa is found mostly around Morecambe Bay and on the Lune estuary with only occasional records elsewhere in the area. Over the last 100 years, whilst there have been losses in some areas there have been gains in others, so that Greater Knapweed has slightly extended its range nationally (‘New Atlas’), but since 1987 there has been a significant decline at the edges of its range (‘Local Change’).

",Eurosiberian–Temperate
Cicerbita macrophylla,COMPOSITAE,Cicerbita,macrophylla,Blue Sowthistle,neophyte,(Willd.) Wallr.,Vas_2381,,Text,Alien (European)
Cichorium intybus,COMPOSITAE,Cichorium,intybus,Chicory,archaeophyte,L.,Vas_509,,"
Archeophyte with a Eurosiberian Southern-temperate distribution.
Chicory is a robust perennial herb of roadsides and other marginal habitats and waste ground (BH3). It is found throughout the British Isles but it is rare in most of Scotland and Ireland.
Occasional (24). C. intybus is probably a neophyte in northern Lancashire although it was grown as a crop plant in the 18th century (Holt, 1795). However it was first recorded in the wild from Winmarleigh (J.Pe. in Ashfield, 1860) and Wheldon and Wilson (1907) recorded a further five localities. Today it is found mostly in the west of the area.

",Eurasian–Temperate
Cirsium arvense,COMPOSITAE,Cirsium,arvense,Creeping Thistle,native,(L.) Scop.,Vas_515,,"
Eurasian Temperate element.
Creeping Thistle is a rhizomatous perennial herb of pastures, cultivated and waste ground (BH3, 4, 6). It is found throughout the British Isles.
Very common (431). C. arvense is found throughout northern Lancashire except on the highest fells. There has been no change in its distribution locally or nationally.

",Circumboreal–Temperate
Cirsium eriophorum,COMPOSITAE,Cirsium,eriophorum,Woolly Thistle,native,(L.) Scop.,Vas_517,,Text,Eurosiberian–Temperate
Cirsium heterophyllum,COMPOSITAE,Cirsium,heterophyllum,Melancholy Thistle,native,(L.) Hill,Vas_518,,"
Eurosiberian Boreal-montane element.
Melancholy Thistle is a beautiful perennial herb found in hay meadows, on roadsides, by streams and in woodland edge habitats (BH6, 16) in northern Britain, northern Wales and very rarely in northern Ireland.
Occasional (17). In northern Lancashire C. heterophyllum has been recorded in the Forest of Bowland and at Hest Bank since 1964. However, at least some of the localities in the west of the area have been lost continuing a trend of losses over the last 100 years. In the east and especially in the Slaidburn area its distribution appears stable. Nationally whilst the ‘New Atlas’ reported losses ‘Local Change considered any losses since 1987 to be insignificant.

",Eurosiberian–Temperate
Cirsium palustre,COMPOSITAE,Cirsium,palustre,Marsh Thistle,native,(L.) Scop.,Vas_520,,"
Eurosiberian Boreo-temperate element.
C. palustre is a perennial herb of wet places (BH11, 14) in a wide variety of habitats and is found throughout the British Isles.
Common (339). In northern Lancashire Marsh Thistle is found throughout the area but it is much rarer in the lowland west of the region than elsewhere. There has been no change in its distribution locally or nationally. Both var. palustre and var. ferox Druce occur in northern Lancashire. Var. ferox is an upland taxon and its unbranched stem is distinctive and contrasts with the branched stem of var. palustre.  The distribution of the two taxa has not been noted but in 2010 it was noted that in upper Roeburndale only var. ferox was found but lower down the valley near Middle Salter var. palustre was also seen but there were many intermediates. A similar situation was observed in the Trough of Bowland and the Harden valley.

",Eurosiberian–Temperate
Cirsium vulgare,COMPOSITAE,Cirsium,vulgare,Spear Thistle,native,(Savi) Ten.,Vas_522,,"
Eurosiberian Temperate element.
Spear Thistle is a common perennial species found in grasslands, marginal habitats and waste ground (BH3, 5, 6, 7) throughout the British Isles.
Very common (436). This is one of the commonest species in northern Lancashire and is found almost everywhere except on the highest fells. There is no evidence of a change in its distribution locally or nationally.

",Circumboreal–Temperate
Crepis biennis,COMPOSITAE,Crepis,biennis,Rough Hawksbeard,native,L.,Vas_571,,"
European Temperate element but a neophyte in northern Lancashire.
This is thought to be a native of rough grasslands and woodland margins (BH£, 6) on chalk soils in south-eastern England. However it has spread northwards and westwards to southern Scotland. Wales and Ireland, possibly as a contaminant of grass seed.
Very rare (4). C. biennis was first found in northern Lancashire in a field near the Row, Silverdale (SD47S) in 1941 (H.E.B.; Wilson, 1942). It still occurs on grassy roadside verges in Silverdale (SD47S & T) and in Yealand Redmayne (SD47Y). In Lancashire VC 64 it was found at Slaidburn (SD75B; Abbott, 2005).

",Eurosiberian–Temperate
