species,family,genus,specific,english,status,authority,ID,RedList,WriteUp,Phytogeography
Saponaria officinalis,CARYOPHYLLACEAE,Saponaria,officinalis,Soapwort,archaeophyte,L.,Vas_1821,,"
Archeophyte with a European Temperate distribution but widely naturalised outside this range. It is found in a wide range of marginal and man-made habitats (BH3, 17) and occurs throughout the British Isles.
Occasional (58). In northern Lancashire this is predominantly a coastal species but it is also conspicuous in the Lune and Ribble valleys where it is naturalised by streams and in damp woods. It has been known in northern Lancashire since records were first made in the 17th century and whilst it may have become more frequent its range is stable locally and nationally.

",Eurasian–Temperate
Saponaria officinalis f. Rosea Plena,CARYOPHYLLACEAE,Saponaria,officinalis f. Rosea Plena,Soapwort,neophyte,,Vas_1821,,Text,Eurasian–Temperate
Silene conica,CARYOPHYLLACEAE,Silene,conica,,native,L.,Vas_1921,Nationally scarce,"
Eurosiberian Southern-temperate element but widely naturalised outside its native range and a casual neophyte in VC 60. In the British Isles it is regarded as native in East Anglia, parts of southern England and Wales and the Channel Islands. It occurs on sandy, free-draining soils in open habitats (BH8, 19).
In northern Lancashire it was found in a field at the northern end of Little Hawes Water (SD47Y; Wheldon and Wilson, 1907).

",Mediterranean–Irano?Turanian
Silene coronaria,CARYOPHYLLACEAE,Silene,coronaria,Rose Campion,neophyte,(L.) Clairv.,Vas_2429,,"
Neophyte. This is a native of southern Europe and south-western Asia but it was known as a garden plant in Britain since the mid 14th century. By 1905 it had escaped into the wild and by 2000 was a persistent garden escape on light soils throughout much of Britain.
Very rare (3). Despite being an attractive plant and easily recognised it has only been recorded from Scorton (SD54E) in 1999, on sand dunes at St Anne’s (SD32I) in 2001 and on pavements in Waddington (SD74G) in 2008(all E.F.G.).

",Alien (Mediterranean)
Silene dioica,CARYOPHYLLACEAE,Silene,dioica,Red Campion,native,(L.) Clairv.,Vas_1259,,"
European Boreo-temperate element.
This is one of the most prominent species of shaded situations in hedgerows and woodlands (BH1). It is found throughout the British Isles.
Very common (372). S. dioica occurs throughout northern Lancashire except in moorland areas. Its distribution is stable locally and nationally.

",Eurosiberian–Temperate
Silene flos-cuculi,CARYOPHYLLACEAE,Silene,flos-cuculi,Ragged Robin,native,(L.) Clairv.,Vas_1210,,"
Eurosiberian Temperate element.
This is a plant of damp places found in wet grassland, rush-pasture, fen meadow, tall herb fen and damp woodland margins throughout the British Isles (BH11).
Frequent (221). It is found scattered throughout northern Lancashire. It is believed its distribution is stable locally and nationally but some county floras record local decline and this may be the case in northern Lancashire. However for a still frequent species the tetrad system of recording is too insensitive to note very localised losses.

",Eurosiberian–Temperate
Silene latifolia,CARYOPHYLLACEAE,Silene,latifolia,White Campion,archaeophyte,Poir.,Vas_1258,,"
Archeophyte with a Eurosiberian Southern-temperate distribution but widely naturalised elsewhere. It is found throughout much of the British Isles occurring on well-drained soils on arable land, hedge banks and waste land (BH3).
Frequent (86). It occurs throughout northern Lancashire but is primarily a coastal species. Its distribution is probably stable but the ‘New Atlas’ notes a decline in the west of the British Isles, which is continuing (‘local Change’).

Silene latifolia x S. dioica
S. x hampeana Meusel & K. Werner

This hybrid is usually found on scrubby banks, hedgerows and woodland margins or wherever the parents meet. It is a common hybrid in England, Wales and eastern Scotland but much rarer elsewhere.
Occasional (17). It is scattered across VC 60 but is apparently absent from Lancashire VC 64. It is possibly under recorded.

",Eurasian–Temperate
Silene noctiflora,CARYOPHYLLACEAE,Silene,noctiflora,Night Flowering Catchfly,archaeophyte,L.,Vas_1261,,"
Archeophyte, with a European Temperate distribution but widely naturalised outside this range. In the British Isles it is found mostly in south-eastern Scotland, eastern and southern England where it occurs on dry sandy, calcareous soils in cultivated and waste land (BH4).
In northern Lancashire it appeared as a casual on the Lytham and St. Anne’s sand dunes with other introduced species in 1903 (Wheldon and Wilson, 1907) and 1908 (C.B.; NMW). It was also found abundantly in a cultivated field near Nether Kellet in the 1930s (France, 1930s).

",Eurasian–Temperate
Silene uniflora,CARYOPHYLLACEAE,Silene,uniflora,Sea Campion,native,Roth,Vas_1926,,"
Suboceanic Boreo-temperate element.
S. uniflora is a characteristic plant of sea-cliffs, coastal walls and drift lines (BH18, 19) around most of the coasts of the British Isles.
Occasional (45). It occurs on most of the coast between Preston and Silverdale and appears to be more frequent and in more places than 100 years ago. Nationally its distribution is stable.

",Atlantic–Coastal
Silene vulgaris,CARYOPHYLLACEAE,Silene,vulgaris,Bladder Campion,native,(Moench) Garcke,Vas_4578,,"
Eurasian Southern-temperate element.
This is found in a variety of open and grassy habitats as well as waste ground, dry banks and other disturbed places (BH3, 6). It is found throughout most of the British Isles but it is much rarer in western Ireland, western and northern Scotland than elsewhere.
Frequent (89). It has a disjunct distribution in northern Lancashire with most records in the west of the area but with a number of records running north – south along the line of the A6 and with a cluster around Preston. Elsewhere it is rarely found. The present distribution is similar to that of 100 years ago although it may be more frequent on the Fylde coast and around Preston. Nationally the ‘New Atlas’ reports a decline in its distribution since 1962 with further decline since 1987 reported by ‘Local Change’.

",Eurasian–Temperate
Spergula arvensis,CARYOPHYLLACEAE,Spergula,arvensis,Corn Spurrey,alien,L.,Vas_1987,,"
Eurosiberian Wide-temperate element but widely naturalised elsewhere; an archeophyte in most of the British Isles.
It is found in open disturbed habitats including arable fields and waste places (BH4) throughout the British Isles.
Frequent (160). This is found all over northern Lancashire, especially in the west of the area. Its distribution is stable in northern Lancashire but the ‘New Atlas’ reported a decline nationally since 1962 but ‘Local Change’ noted no further significant losses since 1987.

",Circumboreal–Temperate
Spergularia marina,CARYOPHYLLACEAE,Spergularia,marina,Lesser Sea Spurrey,native,(L.) Griseb.,Vas_1990,,"
Circumpolar Southern-temperate element.
This occurs on salt marshes and other maritime habitats around the coasts of the British Isles but also inland on salt treated roadside verges (BH3, 21).
Occasional (64). This has a similar coastal distribution on salt marshes to S. media, with which it often occurs, but in recent years it has also been found inland on roadside verges, especially near mounds of salt kept for treating roads in winter. It has extended its range in northern Lancashire over the last 100 years and nationally its range has increased both in its coastal habitats and inland on many salt-treated roads.

",Atlantic–Coastal
Spergularia media,CARYOPHYLLACEAE,Spergularia,media,Greater Sea Spurrey,native,(L.) C.Presl,Vas_1991,,"
Eurosiberian Southern-temperate element.
It occurs on salt marshes and other maritime habitats around the coasts of the British Isles (BH21).
Occasional (52). This is found on all the salt marshes of the Ribble, Wyre and Lune estuaries, often extending inland to the highest level of tidal influence, and around Morecambe Bay. It appears that over the last 100 years S. media may have extended its range and become more common. Nationally the ‘New Atlas’ noted that since 1962 its distribution was stable but since 1987 ‘Local Change’ reported an expansion of its range.

",Atlantic–Coastal
Spergularia rubra,CARYOPHYLLACEAE,Spergularia,rubra,,native,(L.) J.Presl & C.Presl,Vas_1992,,"
European Southern-temperate element.
Sand Spurrey is an annual herb found in open habitats on acidic soils (BH8, 17). It is found throughout the British Isles although it is rare in much of Ireland.
Occasional (15). In northern Lancashire S. rubra is found mostly in coastal areas with occasional records from further inland including a single locality in Lancashire VC 64. As Wheldon and Wilson (1907) only recorded it from two sites it appears that there has been a slight extension of its range in the region. Nationally there were signs S. rubra was declining (‘New Atlas’) but ‘Local Change’ reported a considerable resurgence. It is particularly successful in colonizing tracks in forestry plantations.

",Circumboreal–Temperate
Stellaria alsine,CARYOPHYLLACEAE,Stellaria,alsine,Bog Stitchwort,native,Grimm,Vas_2007,,"
European Temperate element.
This is one of the commonest species of wetland habitats (BH11, 14) and occurs throughout the British Isles.
Very common (354). It occurs throughout northern Lancashire and its distribution is stable. Nationally it has declined in southern and eastern England since 1962 (‘New Atlas’) but no further significant decline was noted since 1987 (‘Local Change’).

",Eurosiberian–Temperate
Stellaria aquatica,CARYOPHYLLACEAE,Stellaria,aquatica,,native,(L.) Scop.,Vas_1326,,Text,Circumboreal–Temperate
Stellaria graminea,CARYOPHYLLACEAE,Stellaria,graminea,Lesser Stitchwort,native,L.,Vas_2009,,"
Eurosiberian Boreo-temperate element.
This is a common summer flowering plant of damp but free draining neutral and acid soils throughout the British Isles. It occurs in woodlands, hedge banks, neglected pastures and other grasslands (BH6) but survives with some nutrient enrichment.
Common (307). It occurs throughout northern Lancashire where its distribution is stable reflecting the national situation.

",Eurosiberian–Temperate
Stellaria holostea,CARYOPHYLLACEAE,Stellaria,holostea,Greater Stitchwort,native,L.,Vas_2010,,"
Eurosiberian Temperate element.
This is a characteristic spring flowering plant of hedgerows, unmanaged grassy roadsides and woodland margins (BH1, 3) throughout most of the British Isles.
Common (282). It occurs throughout most of northern Lancashire but is absent from moorland areas and much of the intensively cultivated parts in the west of the area. There has been little change in its distribution locally or nationally.

",Eurosiberian–Temperate
Stellaria media,CARYOPHYLLACEAE,Stellaria,media,Common Chickweed,native,(L.) Vill.,Vas_2012,,"
Circumpolar Wide-temperate element.
This is a very common annual of disturbed habitats (e.g. BH3, 4, 17) throughout the British Isles.
Very common (427). It occurs in a variety of disturbed habitats throughout northern Lancashire only being absent from the peat covered Bowland Fells, although there are still a few tetrads in Lancashire VC 64 where it should be found. Its distribution both locally and nationally is stable.

",Cosmopolitan (Eurasian origin)
Stellaria neglecta,CARYOPHYLLACEAE,Stellaria,neglecta,,native,(Lej.) Weihe,Vas_2013,,"
European Temperate element.
This is a plant of damp shaded places, often by streams in woods (BH1, 3). It occurs in England and Wales, more especially in the west with a few scattered records in Ireland and Scotland. However it is easily mistaken for the variable S. media.
Rare (11). Wheldon and Wilson (1907) recorded this from near Docker and Bleasdale whilst post 1964 records are from the Ribble valley with isolated records from Heysham and Silverdale. It is likely that it is overlooked in some valley woodlands and yet others may be errors for S. media, so it is not possible to know if there is any change in its distribution locally. Similarly there is little evidence for change nationally.

",Eurosiberian–Temperate
Stellaria nemorum,CARYOPHYLLACEAE,Stellaria,nemorum,Wood Stitchwort,native,L.,Vas_2014,,"
European Boreo-temperate element.
This occurs in damp woodlands and hedge banks (BH1, 3) in central Britain and parts of Wales.
Frequent (96). This is an especially characteristic plant of valley woodlands in the Bowland Fells as well as in the north of the area and in the Ribble valley. Its distribution both locally and nationally is stable.

",Eurosiberian–Temperate
Nuphar lutea,NYMPHACEAE,Nuphar,lutea,Yellow Water Lily,native,(L.) Sm.,Vas_1356,,"
Eurosiberian Boreo-temperate element.
Yellow Water-lily is found in ponds, lakes and slow moving water bodies (BH13) throughout the British Isles but it is rare in much of Scotland, north-eastern and south-western England and southern Ireland.
Occasional (54). It is found scattered in ponds throughout VC 60 and in the Lancaster Canal. It is not found in Lancashire VC 64. Whilst its occurrence in ponds is probably unchanged there has been a marked extension in its distribution in the Lancaster Canal (Greenwood, 2005). There has been little change in its distribution nationally since 1962.

",Eurasian–Temperate
Nymphaea alba,NYMPHACEAE,Nymphaea,alba,White Water Lily,native,L.,Vas_1358,,"
European Temperate element.
It is found scattered in ponds, lakes and other large, still water bodies (BH13) throughout the British Isles.
Occasional (31). In northern Lancashire White Water-lily is found in ponds, the Lancaster Canal, Hawes Water, Silverdale and Little Hawes Water, Yealand Redmayne but there are no records for Lancashire VC 64. Over the last 100 years this species has spread from the six sites listed by Wheldon and Wilson (1907). However it may have been introduced into some locations. These observations are in line with the ‘New Atlas’ and ‘Local Change’.

",Eurasian–Temperate
Nymphaea x marliacea,NYMPHACEAE,Nymphaea,x marliacea,Marlia's Waterlily,neophyte,Lat.-Marl.,Vas_8153,,Text,Alien (horticultural hybrid)
Ceratophyllum demersum,CERATOPHYLLACEAE,Ceratophyllum,demersum,Rigid Hornwort,native,L.,Vas_471,,"
Circumpolar Southern-temperate element.
C. demersum is found in still, eutrophic waters (BH13) mostly in midland and southern England.
Occasional (28). This species is found in ponds and the Lancaster Canal but is confined in northern Lancashire to areas west of the M6. The record from the River Hodder in 1891 (Anon, 1891) was an error for Myriophyllum alterniflorum (STY). The first confirmed record (E.H.) was from the Lancaster Canal (SD44T) in 1964 and shortly afterwards it proved to be common in the waterway. However by 2000 it could not be found in the Canal. The causes of its spread into northern Lancashire and its subsequent decline are not known. Preston and Croft (1997) suggest that fluctuations in its abundance may be related to nutrient status. The ‘New Atlas’ suggests that it may have increased in abundance since 1962 and ‘Local Change’ confirms that it may still be extending its range.

",Circumboreal–Temperate
Ceratophyllum submersum,CERATOPHYLLACEAE,Ceratophyllum,submersum,Soft Hornwort,native,L.,Vas_472,,"
Eurosiberian Temperate element.
C. submersum occurs in still, eutrophic waters (BH13) mostly in the Severn Valley and eastern England.
Rare (6). It was first reported from the Lancaster Canal at Borwick (SD57G) in 1966 (E.F.G) and from a pond at Fleetwood (SD34D) also in 1966 (E.J.H.), which was subsequently filled in. Later records were from various places in the Lancaster Canal and from the dyke at Crag Foot, Warton. C.  submersum became much more frequent after 1962 (‘New Atlas’) but ‘Local Change’ provided no further comment.

",Eurasian–Temperate
Aconitum napellus,RANUNCULACEAE,Aconitum,napellus,Monkshood,neophyte,L.,Vas_14,,"
Neophyte. European Temperate element. It is regarded as native in parts of England and Wales but most plants are escapes from cultivation and records may be for Aconitum napellus L. x A. variegatum L. ( A. x commorum L.). It was not recorded in the wild in Britain until 1821.
Rare (13). In northern Lancashire the first records were from Bailey Hall Wood (SD63T) in 1886 (Anon, 1891) and from the Holden Clough area in 1892 (Milne-Redhead, 1870s). Today it is found scattered on the edges of woodlands and on roadsides. A. x commorum was identified growing at Browsholme Hall (SD64X; Abbott, 2005.).

",Eurosiberian–montane
Actaea spicata,RANUNCULACEAE,Actaea,spicata,Baneberry,native,L.,Vas_16,,"
Circumpolar Boreal-montane element.
This is only found from limestone rocks (BH16) in northern England.
Very rare (2). Baneberry was recorded from limestone rocks in Ease Gill, Leck (SD68Q) and from a pothole on Leck Fell (SD67U). The last records by L.A.L. are from the 1980s but there is no reason to believe that it is not extant at both localities. There is also a record from Silverdale in 1954 (H.E.G.) although this might refer to an Arnside locality (Halliday, 1997). The ‘New Atlas’ suggests the long-lived plants are maintaining the historic distribution. ‘Local Change’ makes no comment.

",Eurosiberian–Temperate
Anemone nemorosa,RANUNCULACEAE,Anemone,nemorosa,Wood Anemone,native,L.,Vas_105,,"
Eurosiberian Temperate element.
This is a common woodland species (BH1) found throughout the British Isles.
Frequent (203). Wood Anemone is found in woodlands throughout northern Lancashire. It is largely absent from much of upland Bowland and the intensively cultivated areas in the west. The ‘New Atlas’ suggests its distribution is stable but the more recent ‘Local Change’ records a significant decline. It is believed its distribution in northern Lancashire is unchanged.

",Eurosiberian–Temperate
Anemone apennina,RANUNCULACEAE,Anemone,apennina,Blue Anemone,neophyte,L.,Vas_104,,"
Neophyte. A Mediterranean species grown in gardens but it is found in woodlands, churchyards and parkland etc. It has been recorded in the wild in Britain since 1724.
Very rare (2). It was first found in northern Lancashire in 1941 (LIV) where it was found at Silverdale. It was found at Silverdale (SD47M) again in 1974 and from Slyne (SD46T) in 1990 (Livermore and Livermore, 1990).

",Mediterranean–montane
Anemone blanda,RANUNCULACEAE,Anemone,blanda,Balkan Anemone,neophyte,Schott & Kotschy,Vas_7946,,Text,Alien (Mediterranean)
Aquilegia vulgaris,RANUNCULACEAE,Aquilegia,vulgaris,Columbine,native,L.,Vas_141,,"
European Temperate element.
Native populations are found in calcareous woodlands (BH1) in England and Wales but it is also found as a naturalised garden escape throughout the British Isles.
Occasional (49). Columbine is scattered throughout northern Lancashire. However, whilst this was probably native in woodland on limestone around Morecambe Bay and perhaps also in some of the woodlands in the Brock, Hodder and Ribble valleys most populations today are derived from garden plants. It is possible that plants with small and intensely blue flowers are derived from native populations whilst large multi coloured flowered plants are clearly derived from gardens. This species has increased its range considerably in Britain during the last 50 years (‘New Atlas’) probably almost entirely through garden escapes. Already by 1907 Wheldon and Wilson were recording garden escapes in VC 60 and a modest increase in records across the area has occurred since then.

",Eurosiberian–Temperate
Caltha palustris,RANUNCULACEAE,Caltha,palustris,Marsh Marigold,native,L.,Vas_310,,"
Circumpolar Wide-boreal element.
Marsh-marigold is a common plant of wet habitats (BH11) throughout the British Isles.
Common (292). This species is widespread in wetland areas except in the more intensively cultivated parts in the west and upland areas of Bowland. The ‘New Atlas’ did not report any decline since 1962 but ‘Local Change’ found that there were considerable recent losses in the south and east of England. In northern Lancashire it is thought that losses may be occurring but for a common species this is not yet reflected in tetrad distribution maps.

",Circumboreal–Temperate
Clematis vitalba,RANUNCULACEAE,Clematis,vitalba,Traveller's Joy,native,L.,Vas_528,,"
European Temperate element but a neophyte in northern Lancashire.
Occasional (18). Although Halliday (1997) regards this species as native on the limestone around Morecambe Bay it was not recorded in northern Lancashire until 1899 (Wheldon and Wilson, 1907) when it was thought to have been planted. Since 1899 it has spread more widely in hedgerows and woodlands on the limestone in the Silverdale to Warton area with a few scattered localities elsewhere in VC 60.

",Mediterranean–Atlantic
Clematis viticella,RANUNCULACEAE,Clematis,viticella,Purple Clematis,neophyte,L.,Vas_529,,Text,Alien (Mediterranean)
Eranthis hyemalis,RANUNCULACEAE,Eranthis,hyemalis,Winter Aconite,neophyte,(L.) Salisb.,Vas_724,,Text,Alien (Mediterranean)
Ficaria verna agg.,RANUNCULACEAE,Ficaria,verna agg.,Lesser Celandine,native,Huds.,Vas_1649,,Text,Eurosiberian–Temperate
Ficaria verna subsp. fertilis,RANUNCULACEAE,Ficaria,verna subsp. fertilis,,native,(Lawalrée ex Laegaard) Stace,Vas_1649.2,,Text,Eurosiberian–Temperate
Ficaria verna subsp. ficariiformis,RANUNCULACEAE,Ficaria,verna subsp. ficariiformis,,neophyte,(F.W.Schultz) B.Walln.,Vas_1649.3,,Text,Eurosiberian–Temperate
Ficaria verna subsp. verna,RANUNCULACEAE,Ficaria,verna subsp. verna,,native,Huds.,Vas_1649.1,,Text,Eurosiberian–Temperate
Helleborus argutifolius,RANUNCULACEAE,Helleborus,argutifolius,Corsican Hellebore,neophyte,Viv.,Vas_3469,,"
Neophyte. This is a native of Corsica and Sardinia but it is grown in gardens from where it sometimes escapes into the wild.
Very rare (1). It was recorded from Silverdale (SD47S) by Livermore and Livermore (1987).

",Alien (Mediterranean)
Helleborus foetidus,RANUNCULACEAE,Helleborus,foetidus,Stinking Hellebore,native,L.,Vas_963,,"
Suboceanic Southern-temperate element.
The native range of Stinking Hellebore is obscured by numerous naturalised introductions. However it is thought to be native in parts of England and Wales. Presumed native populations are usually found in woodland edge habitats (BH3).
Rare (9). It is generally regarded as a neophyte in northern England but it could be native in the limestone woodlands (BH1) around Morecambe Bay. However it is grown in gardens and naturalised plants occur, e.g. at Barton (Wheldon and Wilson, 1907) and Preston in 2000 (P.J.). It was first recorded from Gait Barrows in 1901 (Wheldon and Wilson, 1907), where it still occurs. Neither the ‘New Atlas nor ‘Local Change are able to comment on changes to its distribution.

",Sub?Mediterranean–Atlantic
Helleborus orientalis,RANUNCULACEAE,Helleborus,orientalis,Lenten-rose,neophyte,Lam.,Vas_7398,,Text,Alien (Asian)
Helleborus viridis,RANUNCULACEAE,Helleborus,viridis,Green Hellebore,native,L.,Vas_964,,"
Suboceanic Temperate element.
This is another species where it is difficult to know its status. It is generally regarded as native in limestone woodlands (BH1) around Morecambe Bay and in other English woodlands but it is a naturalized escape from cultivation elsewhere.
Rare (8).  In northern Lancashire and in the British Isles generally it was used for medicinal and veterinary purposes (Halliday, 1977) and one of its sites in Silverdale is an old orchard. The ‘New Atlas’ suggests it is declining but ‘Local Change’ makes no comment.

",Eurosiberian–Temperate
Helleborus x hybridus,RANUNCULACEAE,Helleborus,x hybridus,Hybrid Lenten-rose,neophyte,Voss,Vas_6688,,Text,Alien (horticultural hybrid)
Nigella damascena,RANUNCULACEAE,Nigella,damascena,Love-In-A-Mist,neophyte,L.,Vas_4380,,"
Neophyte. A native of southern Europe that is often cultivated in gardens. It is found occasionally, usually as a casual on waste ground and rubbish tips.
Very rare (1). The only record is as a casual from Lytham tip (SD32) in c. 1966 (A.E.R.).

",Alien (Mediterranean)
Ranunculus acris,RANUNCULACEAE,Ranunculus,acris,Meadow Buttercup,native,L.,Vas_1642,,"
Eurasian Wide-boreal element.
This is a herb of damp meadows and pastures as well as other habitats (e.g. 3, 6,7,17) and is found all over the British Isles.
",Circumboreal–Temperate
Ranunculus aquatilis,RANUNCULACEAE,Ranunculus,aquatilis,Common Water Crowfoot,native,L.,Vas_1643.1,,"
European Temperate element.
R. aquatilis is found in ponds (BH11) in most of the British Isles.
Frequent (85). Despite confusion with Ranunculus trichophyllus this is the commonest of the small flowered water-crowfoots occurring in ponds in lowland areas mostly in the west of northern Lancashire but it also occurs in the Lune valley. There is no doubt that this species has increased in frequency and extended its range during the last 100 years. However because of identification problems the ‘New Atlas’ and ‘Local Change’ are not able to give an opinion for Britain as a whole.

",Circumboreal–Temperate
Ranunculus aquatilis or trichophyllus x fluitans = R. x bachii,RANUNCULACEAE,Ranunculus,aquatilis or trichophyllus x fluitans = R. x bachii,,native,,Vas_2671,,Text,Temperate aquatic hybrid
Ranunculus auricomus,RANUNCULACEAE,Ranunculus,auricomus,Goldilocks Buttercup,native,L.,Vas_1645,,"
European Boreo-temperate element.
This is found in woodlands and hedgerows (BH1, 3) in many parts of the British Isles.
Occasional (56). R. auricomus is a morphologically variable species and a large number of taxa have been named and many are apomicts (Clapham, Tutin and Moore, 1987). Further study may reveal a number of different species but this variation has not been studied in northern Lancashire. It has an unusual disjunct distribution and is confined to old woodlands and hedgerows in the north of the county, in the Ribble and Hodder valleys and in a line running north to south between Lancaster and Catterall. The ‘New Atlas’ suggests the range of R. auricomus is stable but ‘Local Change’ records a clear decline in the last few years and this may be the position in northern Lancashire.

",Eurosiberian–Temperate
Ranunculus baudotii,RANUNCULACEAE,Ranunculus,baudotii,,native,Godr.,Vas_1646,,"
European Southern-temperate element.
This is a species of brackish (BH13) coastal marshes around the British Isles
Rare (11). In northern Lancashire R. baudotii  is confined to coastal marshes including an inland brackish pool at Preesall. However whilst this was never a common plant it appears to have declined in recent years and since 1990 it has only been seen at Fleetwood, Middleton and Silverdale. This decline is reflected in an apparent decline shown by the ‘New Atlas’ elsewhere on western coasts of Britain but because of identification difficulties it is not clear if this is due to under recording or is a real decline.

",Atlantic–Coastal
Ranunculus bulbosus,RANUNCULACEAE,Ranunculus,bulbosus,Bulbous Buttercup,native,L.,Vas_1647,,"
European Southern-temperate element.
This is characteristic of well-drained, neutral or calcareous grassland and sand dunes (BH6, 7, 19) in most of the British Isles.
Common (232). It occurs in calcareous and neutral grasslands, including sand dunes, throughout northern Lancashire.  The ‘New Atlas’ and Abbott (2005) suggest that it might be overlooked and this accounts for a slight decline in its distribution towards the west and north of the British Isles. ‘Local Change’ does not support this view and suggests it may be increasing. In northern Lancashire, with the continuing loss of old calcareous and neutral grasslands, it might be thought to be decreasing in the region but as yet there is no evidence for this.

",Eurosiberian–Temperate
Ranunculus flammula,RANUNCULACEAE,Ranunculus,flammula,Lesser Spearwort,native,L.,Vas_1651,,"
European Temperate element.
This is a common wetland (BH11) species found throughout the British Isles.
Common (273). In northern Lancashire Lesser Spearwort is found in wetlands throughout the region but occurs less frequently in the intensively farmed lowland areas in the west. Apart from south-eastern England, where R. flammula has become less frequent, the ‘New Atlas’ reports no changes in its distribution and this situation is confirmed by ‘Local Change’. As northern Lancashire is well to the northwest of the decline in south-eastern England it is not thought that there has been any change in its distribution.


",Circumboreal–Temperate
Ranunculus fluitans,RANUNCULACEAE,Ranunculus,fluitans,,native,Lam.,Vas_1652,,Text,Atlantic–Temperate rivers
Ranunculus hederaceus,RANUNCULACEAE,Ranunculus,hederaceus,Ivy-Leaved Water Crowfoot,native,L.,Vas_1653,,"
Suboceanic Southern-temperate element.
This is found at the edges of small water bodies (BH11, 13) in many parts of the British Isles but it is rare in northern Scotland, south-eastern England and central Ireland.
Frequent (110). Ivy-leaved Crowfoot is found scattered in wet places throughout northern Lancashire but it never extends far into the uplands. The ‘New Atlas’ reports a long and continuous decline in its distribution in arable farming areas but ‘Local Change’ suggests there is little recent change in its distribution. The latter situation seems to appertain in northern Lancashire.

",Atlantic–Temperate
Ranunculus lingua,RANUNCULACEAE,Ranunculus,lingua,Greater Spearwort,native,L.,Vas_1655,,"
Eurosiberian Temperate element.
This is a species of ponds, fens and marshes (BH11) throughout much of the British Isles although it is rare in most of Scotland. Its native distribution is obscured by escapes from cultivation.
Occasional (16). The status of this species in northern Lancashire is uncertain. It was first recorded by Ashfield (1858) but by none of the other early botanists. However by 1925 (Wheldon and Wilson, 1925) a few localities in coastal ditches had been found Today it still occurs in ponds and ditches in coastal areas but also occasionally inland and in at least some of these it is planted. However in the Heysham peninsula natural spread is taking place. The ‘New Atlas’ suggests that up to 1962 its native distribution was declining but since then through its popularity as a garden plant its range has expanded making it impossible to distinguish between native and introduced populations. ‘Local Change’ suggests it may still be expanding its range.

",Eurasian–Temperate
Ranunculus marginatus,RANUNCULACEAE,Ranunculus,marginatus,St Martin's Buttercup,alien,d'Urv.,Vas_7525,,Text,Mediterranean
Ranunculus omiophyllus,RANUNCULACEAE,Ranunculus,omiophyllus,,native,Ten.,Vas_1654,,"
Suboceanic Southern-temperate element.
This is found at the edge of small water bodies and in upland flushes in England, Wales, southern Scotland and southern Ireland.
Frequent (102). R. omiophyllus is characteristic of upland flushes in northern Lancashire, which are irrigated with some nutrients and whilst it avoids the most acidic situations it nevertheless favours mesotrophic to oligotrophic conditions. It is found mostly in the Bowland Fells and on Longridge Fell. The ‘New Atlas’ reports a continuing decline in its distribution but ‘Local Change’ considers the recent distribution unchanged, which seems to be the situation in northern Lancashire.

",Atlantic–Temperate
Ranunculus peltatus,RANUNCULACEAE,Ranunculus,peltatus,Pond Water Crowfoot,native,Schrank,Vas_1643.2,,"
European Wide-temperate element.
This is found in slow-moving rivers and ponds (BH11) in England, Wales, Ireland and southern and eastern Scotland.
Rare (6).There were at least ten former localities for R. peltatus in ponds, ditches and canals with clusters of records for the Lune valley, around Silverdale, in the Heysham peninsula and near Blackpool and Lytham. Additional records were from Grimsargh, Thornley and Garstang. More recently there have been records from Leighton Moss in 1980 (Arnside Naturalists), Warton near Lytham in 1964 (A.E.R.) and Gressingham in 1968 (E.F.G.). However the only post 1990 records are from R. Lune oxbow pools in the Melling area. Although never common this species has declined over the last 100 years and this decline is continuing. Unfortunately because of identification difficulties it has not been possible to assess change in Britain as a whole.

",Eurasian–Temperate
Ranunculus penicillatus,RANUNCULACEAE,Ranunculus,penicillatus,,native,(Dumort.) Bab.,Vas_1643.3,,"Ranunculus fluitans x R. aquatilis and R. fluitans x R. tricholphyllus (The two hybrids can only be distinguished cytologically and are known as R. x bachii Wirtg.)
",Atlantic–Temperate
Ranunculus repens,RANUNCULACEAE,Ranunculus,repens,Creeping Buttercup,native,L.,Vas_1660,,"
Eurasian Boreo-temperate element.
This has a wide ecological tolerance and is found in a variety of habitats (e.g. BH3, 6) in the British Isles.
Very common (448). Creeping Buttercup is found in a variety of generally wet habitats, except peat bogs, throughout northern Lancashire. It has a stable distribution locally and nationally.

",Circumboreal–Temperate
Ranunculus sceleratus,RANUNCULACEAE,Ranunculus,sceleratus,Celery Leaved Buttercup,native,L.,Vas_1663,,Text,Circumboreal–Temperate
